iter	Passed	Remaining
0	1	134
1	2	130
2	3	124
3	4	114
4	6	116
5	8	126
6	9	124
7	10	121
8	11	119
9	13	119
10	14	116
11	15	114
12	16	112
13	17	110
14	19	112
15	21	111
16	22	109
17	23	108
18	25	106
19	26	105
20	27	103
21	28	101
22	29	99
23	31	98
24	32	97
25	34	98
26	35	96
27	37	95
28	38	94
29	39	92
30	40	90
31	41	89
32	43	88
33	44	86
34	46	86
35	48	85
36	49	84
37	51	83
38	52	81
39	53	80
40	54	78
41	55	76
42	56	74
43	57	73
44	59	72
45	60	71
46	61	69
47	63	68
48	64	67
49	65	65
50	67	64
51	68	63
52	69	61
53	70	60
54	71	58
55	73	57
56	74	56
57	75	54
58	77	53
59	78	52
60	79	50
61	80	49
62	82	48
63	84	47
64	85	45
65	86	44
66	88	43
67	89	42
68	90	40
69	91	39
70	92	37
71	94	36
72	95	35
73	96	33
74	98	32
75	99	31
76	100	30
77	102	28
78	103	27
79	104	26
80	105	24
81	107	23
82	108	22
83	111	21
84	113	19
85	114	18
86	115	17
87	116	15
88	117	14
89	119	13
90	120	11
91	121	10
92	124	9
93	125	8
94	126	6
95	127	5
96	129	3
97	130	2
98	131	1
99	132	0
